language,word,romanized,meaning,category,difficulty,example,example_romanized,example_translation

korean,안녕하세요,annyeonghaseyo,hello,greetings,beginner,안녕하세요 선생님,annyeonghaseyo seonsaengnim,Hello teacher
korean,감사합니다,gamsahamnida,thank you,greetings,beginner,감사합니다 선생님,gamsahamnida seonsaengnim,Thank you teacher
korean,죄송합니다,joesonghamnida,sorry,greetings,beginner,죄송합니다 친구,joesonghamnida chingu,Sorry friend
korean,안녕히 가세요,annyeonghi gaseyo,goodbye,greetings,beginner,안녕히 가세요 선생님,annyeonghi gaseyo seonsaengnim,Goodbye teacher
korean,괜찮아요,gwaenchanayo,it's okay,greetings,beginner,괜찮아요 저는 좋아요,gwaenchanayo jeoneun joayo,It's okay I am fine
korean,하나,hana,one,numbers,beginner,하나 주세요,hana juseyo,Please give me one
korean,둘,dul,two,numbers,beginner,사과 둘 주세요,sagwa dul juseyo,Please give me two apples
korean,셋,set,three,numbers,beginner,책 셋 있어요,chaek set isseoyo,There are three books
korean,넷,net,four,numbers,beginner,펜 넷 있어요,pen net isseoyo,There are four pens
korean,다섯,daseot,five,numbers,beginner,다섯 명이에요,daseot myeong-ieyo,There are five people
korean,빨간색,ppalgansaek,red,colors,beginner,빨간색 가방이에요,ppalgansaek gabang-ieyo,It is a red bag
korean,파란색,paransaek,blue,colors,beginner,파란색 펜이에요,paransaek pen-ieyo,It is a blue pen
korean,노란색,noransaek,yellow,colors,beginner,노란색 꽃이에요,noransaek kkot-ieyo,It is a yellow flower
korean,초록색,choroksaek,green,colors,beginner,초록색 책이에요,choroksaek chaek-ieyo,It is a green book
korean,검은색,geomeunsaek,black,colors,beginner,검은색 신발이에요,geomeunsaek sinbal-ieyo,They are black shoes
korean,밥,bap,rice/meal,food,beginner,밥을 먹어요,babeul meogeoyo,I eat rice
korean,물,mul,water,food,beginner,물을 마셔요,mureul masyeoyo,I drink water
korean,사과,sagwa,apple,food,beginner,사과를 먹어요,sagwareul meogeoyo,I eat an apple
korean,빵,ppang,bread,food,beginner,빵을 좋아해요,ppangeul joahaeyo,I like bread
korean,커피,keopi,coffee,food,beginner,커피를 마셔요,keopireul masyeoyo,I drink coffee
korean,책,chaek,book,classroom,beginner,책을 읽어요,chaegeul ilgeoyo,I read a book
korean,펜,pen,pen,classroom,beginner,펜이 있어요,pen-i isseoyo,I have a pen
korean,학교,hakgyo,school,classroom,beginner,학교에 가요,hakgyoe gayo,I go to school
korean,선생님,seonsaengnim,teacher,classroom,beginner,선생님이 친절해요,seonsaengnim-i chinjeolhaeyo,The teacher is kind
korean,학생,haksaeng,student,classroom,beginner,저는 학생이에요,jeoneun haksaeng-ieyo,I am a student
korean,공항,gonghang,airport,travel,beginner,공항에 가요,gonghange gayo,I go to the airport
korean,호텔,hotel,hotel,travel,beginner,호텔에 있어요,hotel-e isseoyo,I am at the hotel
korean,기차,gicha,train,travel,beginner,기차를 타요,gichareul tayo,I take the train
korean,버스,beoseu,bus,travel,beginner,버스를 기다려요,beoseureul gidaryeoyo,I wait for the bus
korean,여권,yeogwon,passport,travel,beginner,여권이 필요해요,yeogwon-i piryohaeyo,I need a passport
korean,엄마,eomma,mom,family,beginner,엄마를 사랑해요,eommareul saranghaeyo,I love my mom
korean,아빠,appa,dad,family,beginner,아빠가 집에 있어요,appaga jibe isseoyo,Dad is at home
